Species_Name	Taxon_ID
Abiotrophia_defectiva	46125
Achromobacter_animicus	1389935
Achromobacter_piechaudii	72556
Achromobacter_ruhlandii	72557
Acinetobacter_baumannii	470
Acinetobacter_bereziniae	106648
Acinetobacter_colistiniresistens	280145
Acinetobacter_courvalinii	280147
Acinetobacter_guillouiae	106649
Acinetobacter_haemolyticus	29430
Acinetobacter_johnsonii	40214
Acinetobacter_junii	40215
Acinetobacter_lwoffii	28090
Acinetobacter_nosocomialis	106654
Acinetobacter_oleivorans	1148157
Acinetobacter_parvus	134533
Acinetobacter_pittii	48296
Acinetobacter_radioresistens	40216
Acinetobacter_schindleri	108981
Acinetobacter_seifertii	1530123
Acinetobacter_soli	487316
Acinetobacter_ursingii	108980
Actinomadura_madurae	1993
Actinomadura_pelletieri	111805
Actinomyces_gerencseriae	52769
Actinomyces_graevenitzii	55565
Actinomyces_israelii	1659
Actinomyces_massiliensis	461393
Actinomyces_naeslundii	1655
Actinomyces_oris	544580
Actinomyces_urogenitalis	103621
Aeromonas_caviae	648
Aeromonas_dhakensis	196024
Aeromonas_diversa	502790
Aeromonas_encheleia	73010
Aeromonas_eucrenophila	649
Aeromonas_hydrophila	644
Aeromonas_hydrophila_subsp_hydrophila	196023
Aeromonas_jandaei	650
Aeromonas_media	651
Aeromonas_popoffii	70856
Aeromonas_schubertii	652
Aeromonas_sobria	646
Aeromonas_veronii	654
Afipia_birgiae	151414
Afipia_broomeae	56946
Afipia_felis	1035
Aggregatibacter_actinomycetemcomitans	714
Agromyces_mediolanus	41986
Alcaligenes_faecalis	511
Alcaligenes_faecalis_subsp_faecalis	32001
Anaplasma_phagocytophilum	948
Arachnia_propionica	1750
Arcanobacterium_haemolyticum	28264
Bacillus_anthracis	1392
Bacillus_atrophaeus	1452
Bacillus_atrophaeus_subsp_globigii	1529886
Bacillus_cereus	1396
Bacillus_licheniformis	1402
Bacillus_pumilus	1408
Bacillus_thuringiensis	1428
Bacteroides_caccae	47678
Bacteroides_fluxus	626930
Bacteroides_ovatus	28116
Bacteroides_pyogenes	310300
Bacteroides_zoogleoformans	28119
Bartonella_alsatica	52764
Bartonella_ancashensis	1318743
Bartonella_australis	388640
Bartonella_bacilliformis	774
Bartonella_elizabethae	807
Bartonella_gabonensis	2699889
Bartonella_grahamii	33045
Bartonella_grahamii_subsp_shimonis	3004106
Bartonella_henselae	38323
Bartonella_japonica	357761
Bartonella_koehlerae	92181
Bartonella_kosoyi	2133959
Bartonella_quintana	803
Bartonella_vinsonii	33047
Bartonella_vinsonii_subsp_arupensis	110578
Bartonella_vinsonii_subsp_berkhoffii	40933
Bartonella_vinsonii_subsp_vinsonii	110577
Bordetella_bronchiseptica	518
Bordetella_holmesii	35814
Bordetella_parapertussis	519
Bordetella_trematum	123899
Borrelia_anserina	143
Borrelia_crocidurae	29520
Borrelia_duttonii	40834
Borrelia_hermsii	140
Borrelia_miyamotoi	47466
Borrelia_parkeri	141
Borrelia_recurrentis	44449
Borrelia_turcica	229155
Borreliella_burgdorferi	139
Brachyspira_aalborgi	29522
Brachyspira_pilosicoli	52584
Brevibacillus_centrosporus	54910
Brevibacillus_laterosporus	1465
Brevibacillus_parabrevis	54914
Brucella_abortus	235
Brucella_anthropi	529
Brucella_canis	36855
Brucella_ceti	120577
Brucella_inopinata	1218315
Brucella_intermedia	94625
Brucella_melitensis	29459
Brucella_microti	444163
Brucella_neotomae	29460
Brucella_ovis	236
Brucella_pinnipedialis	120576
Brucella_pituitosa	571256
Brucella_pseudintermedia	370111
Brucella_pseudogrignonensis	419475
Brucella_sp	52132
Brucella_suis	29461
Brucella_vulpis	981386
Burkholderia_cenocepacia	95486
Burkholderia_cepacia	292
Burkholderia_dolosa	152500
Burkholderia_gladioli	28095
Burkholderia_glumae	337
Burkholderia_lata	482957
Burkholderia_latens	488446
Burkholderia_mallei	13373
Burkholderia_oklahomensis	342113
Burkholderia_pseudomallei	28450
Burkholderia_vietnamiensis	60552
Campylobacter_concisus	199
Campylobacter_curvus	200
Campylobacter_fetus	196
Campylobacter_fetus_subsp_fetus	32019
Campylobacter_fetus_subsp_testudinum	1507806
Campylobacter_fetus_subsp_venerealis	32020
Campylobacter_hyointestinalis	198
Campylobacter_hyointestinalis_subsp_hyointestinalis	91352
Campylobacter_hyointestinalis_subsp_lawsonii	91353
Campylobacter_jejuni	197
Campylobacter_jejuni_subsp_doylei	32021
Campylobacter_jejuni_subsp_jejuni	32022
Campylobacter_lari	201
Campylobacter_lari_subsp_concheus	488545
Campylobacter_lari_subsp_lari	650054
Campylobacter_sputorum	206
Campylobacter_sputorum_subsp_bovis	1660072
Campylobacter_sputorum_subsp_bubulus	32023
Campylobacter_sputorum_subsp_sputorum	32024
Campylobacter_upsaliensis	28080
Candidatus_Hepatobacter_penaei	1274402
Candidatus_Rickettsia_barbarica	500466
Candidatus_Xenohaliotis_californiensis	84677
Capnocytophaga_canimorsus	28188
Capnocytophaga_canis	1848903
Capnocytophaga_sputigena	1019
Cedecea_davisae	158484
Cedecea_neteri	158822
Chlamydia_abortus	83555
Chlamydia_caviae	83557
Chlamydia_gallinacea	1457153
Chlamydia_pecorum	85991
