Species,fna_Count
Abiotrophia_defectiva,4
Achromobacter_animicus,10
Achromobacter_piechaudii,2
Achromobacter_ruhlandii,35
Acinetobacter_baumannii,639
Acinetobacter_bereziniae,77
Acinetobacter_colistiniresistens,2
Acinetobacter_courvalinii,16
Acinetobacter_guillouiae,3
Acinetobacter_haemolyticus,19
Acinetobacter_johnsonii,104
Acinetobacter_junii,102
Acinetobacter_lwoffii,18
Acinetobacter_nosocomialis,23
Acinetobacter_oleivorans,44
Acinetobacter_parvus,8
Acinetobacter_pittii,73
Acinetobacter_radioresistens,65
Acinetobacter_schindleri,48
Acinetobacter_seifertii,29
Acinetobacter_soli,107
Acinetobacter_ursingii,8
Actinomadura_madurae,6
Actinomadura_pelletieri,1
Actinomyces_gerencseriae,4
Actinomyces_graevenitzii,1
Actinomyces_israelii,2
Actinomyces_massiliensis,2
Actinomyces_naeslundii,4
Actinomyces_oris,65
Actinomyces_urogenitalis,2
Aeromonas_caviae,58
Aeromonas_dhakensis,27
Aeromonas_diversa,4
Aeromonas_encheleia,4
Aeromonas_eucrenophila,2
Aeromonas_hydrophila,61
Aeromonas_hydrophila_subsp_hydrophila,4
Aeromonas_jandaei,8
Aeromonas_media,21
Aeromonas_popoffii,2
Aeromonas_schubertii,4
Aeromonas_sobria,12
Aeromonas_veronii,93
Afipia_birgiae,1
Afipia_broomeae,1
Afipia_felis,4
Aggregatibacter_actinomycetemcomitans,15
Agromyces_mediolanus,5
Alcaligenes_faecalis,19
Alcaligenes_faecalis_subsp_faecalis,2
Anaplasma_phagocytophilum,16
Arachnia_propionica,6
Arcanobacterium_haemolyticum,4
Bacillus_anthracis,14
Bacillus_atrophaeus,16
Bacillus_atrophaeus_subsp_globigii,2
Bacillus_cereus,151
Bacillus_licheniformis,23
Bacillus_pumilus,38
Bacillus_thuringiensis,89
Bacteroides_caccae,5
Bacteroides_fluxus,5
Bacteroides_ovatus,18
Bacteroides_pyogenes,4
Bacteroides_zoogleoformans,2
Bartonella_alsatica,2
Bartonella_ancashensis,4
Bartonella_australis,2
Bartonella_bacilliformis,3
Bartonella_elizabethae,2
Bartonella_gabonensis,1
Bartonella_grahamii,4
Bartonella_grahamii_subsp_shimonis,4
Bartonella_henselae,4
Bartonella_japonica,1
Bartonella_koehlerae,2
Bartonella_kosoyi,2
Bartonella_quintana,4
Bartonella_vinsonii,1
Bartonella_vinsonii_subsp_arupensis,3
Bartonella_vinsonii_subsp_berkhoffii,4
Bartonella_vinsonii_subsp_vinsonii,1
Bordetella_bronchiseptica,16
Bordetella_holmesii,6
Bordetella_parapertussis,2
Bordetella_trematum,3
Borrelia_anserina,4
Borrelia_crocidurae,2
Borrelia_duttonii,2
Borrelia_hermsii,3
Borrelia_miyamotoi,10
Borrelia_parkeri,3
Borrelia_recurrentis,2
Borrelia_turcica,2
Borreliella_burgdorferi,4
Brachyspira_aalborgi,16
Brachyspira_pilosicoli,8
Brevibacillus_centrosporus,7
Brevibacillus_laterosporus,35
Brevibacillus_parabrevis,3
Brucella_abortus,7
Brucella_anthropi,8
Brucella_canis,2
